DataZone,SubHSCP,SubHSCPName,CA,HSCP,HB,Country
S01006866,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006867,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006868,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006869,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006870,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006871,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006872,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006873,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006874,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006875,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006876,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006877,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006878,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006879,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006880,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006881,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006882,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006883,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006884,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006885,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006886,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006887,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006888,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006889,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006890,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006891,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006892,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006893,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006894,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006895,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006896,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006897,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006898,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006899,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006900,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006901,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006902,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006903,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006904,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006905,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006906,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006907,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006908,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006909,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006910,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006911,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006912,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006913,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006914,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006915,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006916,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006917,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006918,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006919,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006920,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006921,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006922,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006923,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006924,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006925,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006926,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006927,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006928,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006929,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
S01006930,PN0000007,Garioch,S12000034,S37000002,S08000020,S92000003
